id,nombre,slug,direccion,descripcion,instagram,whatsapp,telefono,genero_musical
cba1941d-00f3-4671-8a6a-7dcbe27a1411,Cine Colombia,cine-colombia-cine-51d585,,"Recuerda que los reestrenos tienen fecha de caducidad , así que no esperes a que se vaya y corre por tus boletas en www.cinecolombia.com 🎟️",cinecolombia,,,CINE
12c4ee0c-68d1-4338-928c-0e3d5e1088e2,Cinemark Colombia,cinemark-colombia-cine-bf44a4,,todas las películas disponibles · Cumbres Borrascosas · Dia Fin Del Mundo · Goat · La Empleada · Avatar Fuego y Cenizas · Caminos del Crimen · Hamnet · Chase,cinemarkcol,,,CINE
4ce818e3-ee02-4d77-9339-f1cc49c5962d,Cinepolis Colombia,cinepolis-colombia-cine-aa1e21,,Cuenta oficial de Cinépolis Colombia El cine se ve mejor en Cinépolis · ¡Se viene la Fiesta del Cine en Cinépolis! · Película + Combo = Plan Perfecto ✨,cinepolis.co,,,CINE
59eb2f8d-ba44-40af-aa26-389d07289ba1,Procinal,procinal-cine-3a91cd,,"Cinemas Procinal. Cine siempre al mejor precio Estamos ubicados en Bogotá, B/meja, Cartagena, Villavo y Medellín (Terminal Del Sur). 󱙶. Follow.",procinal,,,CINE
6ca2be63-e62f-4e61-a590-f48f71de4995,Royal Films,royal-films-cine-78d523,,Somos #royalfilms cuenta oficial ✨Entérate de los próximos estrenos en cine Compra tus entradas en nuestra app o página oficial  ..,cinemasroyalfilms,,,CINE
cc920da8-e4e1-439b-9cc1-f9d8b16ec04d,Fundación Parque Jaime Duque,fundacion-parque-jaime-duque-parque-cd7aa4,"Zipaquira - Briceno #55C, Zipaquirá, Tocancipá, Cundinamarca","El Parque Jaime Duque es un parque temático dedicado a la recreación familiar. Está ubicado en el municipio de Tocancipá, en el departamento de Cundinamarca.",parquejaimeduque,573146959022,573146959022,PARQUES - RECREACIÓN
77ab176a-5bc4-415c-b8f3-354c3f019eba,Multiparque Parque de Diversiones,multiparque-parque-de-diversiones-parque-6b562e,"Auto. Norte #224-60, Usaquén, Bogotá, Cundinamarca",Multiparque es un parque de atracciones al aire libre dedicado a la recreación y la diversión familiar. Se encuentra ubicado al norte de la ciudad de Bogotá.,multiparquecol,6017470348,6017470348,PARQUES - RECREACIÓN
e908eb4d-efd5-4b46-a0a3-917d79773965,Mundo Aventura,mundo-aventura-parque-2ba3bd,"Cra. 71d #1-14 Sur, Bogotá","Parque de diversiones para toda la familia con atracciones extremas, familiares e infantiles.",mundo_aventura,573183471921,573183471921,PARQUES - RECREACIÓN
d181f4d0-7e7f-47a1-b0a2-246670b4775b,panaca quindio,panaca-quindio-parque-7f860c,"Km 7, Vía A Panaca, Quimbaya, Quindío","El Parque Nacional de la Cultura Agropecuaria más conocido como PANACA es un parque temático agropecuario ubicado en Quimbaya, Colombia. Su concepto gira en torno a la interacción con el campo y los animales domésticos, ofreciendo una experiencia educativa y de entretenimiento para visitantes de todas las edades.",panacaparque,573106818818,573106818818,PARQUES - RECREACIÓN
b3ff22ff-1d85-4b50-b47b-8e715aae3271,Parque del Café,parque-del-cafe-parque-9c1e0d,"La Tebaida-Montenegro, Pueblo Tapao, Montenegro, Quindío","El Parque del Café es un parque temático colombiano ubicado en el corregimiento de Pueblo Tapao, municipio de Montenegro, Quindío. Se inauguró el 24 de febrero de 1995, y ha consolidado ser uno de los principales destinos turísticos del país, destacando la cultura cafetera de la región.",parquedelcafeoficial,6067417400,6067417400,PARQUES - RECREACIÓN
22338b09-152f-4964-8b8d-0f8996e068b8,Parque Nacional del Chicamocha,parque-nacional-del-chicamocha-parque-641953,"Aratoca, Km. 54 Via Bucaramanga - San Gil, Bucaramanga, Santander","El Parque nacional del Chicamocha es un parque temático y área protegida ubicado en el departamento de Santander, Colombia",parquenacionaldelchicamocha,573212050097,573212050097,PARQUES - RECREACIÓN
53d6c868-d279-41d3-8be7-c4614d739498,Parques Temáticos Hacienda Nápoles,parques-tematicos-hacienda-napoles-parque-4630ef,"Kilómetro 165 de la, Autopista Medellín-Bogotá, Puerto Triunfo, Doradal, Antioquia","La Hacienda Nápoles es el nombre que tuviera en el pasado lo que hoy se conoce y reconoce como el Parque Temático Hacienda Nápoles, definido como un centro de entretenimiento familiar a espacio abierto",haciendanapoles,573136286931,573136286931,PARQUES - RECREACIÓN
cc275a1e-213f-4ec4-be48-f073d81081ea,Piscilago | Parque Acuático,piscilago-parque-acuatico-parque-26e5e7,"Vía Bogotá- Girardot, Km. 105, Nilo, Cundinamarca",Parque acuático y de conservación con actividades y atracciones para toda la familia. También ofrece experiencias empresariales únicas desde un modelo de gestión basado en principios de desarrollo sostenible.,piscilagocol,6017457900,6017457900,PARQUES - RECREACIÓN
78a65040-5f61-419a-9cb7-c837ad8a9be1,Salitre Mágico,salitre-magico-parque-c1acc7,"Cl 63 #60-80, Bogotá","El Parque de diversiones de Salitre Mágico es un parque de atracciones ubicado al lado del Parque Metropolitano Simón Bolívar de Bogotá, Colombia. Cuenta con 30 atracciones mecánicas​ y pertenece al consorcio mexicano Corporación Interamericana de Entretenimiento.",salitremagico,6019156050,6019156050,PARQUES - RECREACIÓN
47e7c1c3-905d-4e42-a041-1860113e183b,BERLINAS,berlinas-trans-271eae,Andina,"Pasaje Bogotá Bquilla en bus — Compra tus tiquetes de bus con Berlinas del Fonce y viaja por Colombia con seguridad, puntualidad y confort. Consulta rutas, horarios y descubre nuestra",berlinasdelfonce,6017435050,6017435050,TRANSPORTE
b540d2d4-2686-4094-ad21-c28be9d277fa,Cabify,cabify-trans-b752e4,Andina,"Pide un viaje a través de la app o regístrate para conducir con nosotros. En tu ciudad, a tu ritmo y en cualquier lugar. Estamos listos para llevarte.",cabify_colombia,,,TRANSPORTE
be1b9521-cf7e-4f6a-b6d7-bd4e8509bfaf,colombia travel tours,colombia-travel-tours-trans-d1789e,Andina,"Colombia Travel Tours, es una empresa dedicada a la prestación de servicios de transporte especial de pasajeros, con el objetivo de brindar un servicio",colombia.traveltours,,,TRANSPORTE
42eb41a4-a8ab-43a2-91d3-9fde69e80609,COOMOFU LTDA,coomofu-ltda-trans-7b08bd,Andina,Viaja tranquilo y seguro en nuestra flota de vehículos a cualquier lugar del país. nacionales. Llegamos a todo el territorio Colombiano. intermunicipales.,coomofu_oficial,,,TRANSPORTE
e341da4c-f112-4dc7-a33b-60fa11ac3ddc,Coomotor,coomotor-trans-b345da,Andina,"La Cooperativa de motoristas del Huila y Caquetá Limitada, más conocida como Coomotor, es una empresa colombiana de transporte terrestre con sede en Neiva, fundada el 24 de marzo de 1961.​Se encuentra enclavada en el centro-sur de Colombia.",grupocoomotor,,,TRANSPORTE
7cd5909c-237c-4291-9282-6e9f0db3c488,coopservices ltda,coopservices-ltda-trans-016e9a,Orinoquía,Bienvenido a COOPSERVICES LTDA · Turismo · Servicios de transporte terrestre especial de pasajeros. · Alquiler de vehículos automotores. · Transporte de material …,,,,TRANSPORTE
c1c0baa2-4da5-40c2-8458-1f7bbc9dbd0f,ESCOTUR,escotur-trans-9feab3,Orinoquía,"Nuestra intención es satisfacer las necesidades de nuestros clientes, atendiendo los servicios de transporte especial con seguridad, puntualidad, contando con personal competente y mejorando continuamente nuestros procesos.",escoturssas,,,TRANSPORTE
ae2d3b07-913b-45f3-999e-76319fe454f0,expreso brasilia,expreso-brasilia-trans-cd8ad8,Caribe,Inicio; Ofertas y Servicios. Promociones · Pasajes · Servicio Especial · Brasilia Carga · Publicidad Clientes · Brasilia Play · Servicio Institucional.,expresobrasilia,,,TRANSPORTE
493c4d63-37b9-44ab-b3fe-b4996444663a,Grupo Santorini,grupo-santorini-trans-8de753,Caribe,Parque Automotor Grupo Santorini. Transporte Especial.,gruposantorinico,,,TRANSPORTE
9e2cbc4a-af7e-456f-88e7-9c65dd5387e5,M&c Transportes S A S,mc-transportes-s-a-s-trans-b7494e,Orinoquía,"La empresa M&c Transportes S A S se encuentra situada en el departamento de CASANARE, en la localidad MONTERREY",p,,,TRANSPORTE
f3dabeee-227a-42dc-8969-920e2ad855b7,onika transporte,onika-transporte-trans-d9ce1c,Andina,"Empresa de Transporte Especial, Turístico, Escolar, Empresarial y de la Salud.",transportesonika,,,TRANSPORTE
7bead0cd-4c33-468d-b39e-5711130c36b0,royal express,royal-express-trans-5efe49,Andina,Grupo Royal. tu mejor opción en transporte. Escolar Padres · Asociados · Colaboradores · Coordinador. Misión.,p,,,TRANSPORTE
